MESA,UNE,SEMILLA,NULOS,BLANCO
1021,7,157,12,0
1022,5,185,9,0
1023,5,148,14,0
1024,2,91,8,0
1025,11,79,16,0
1026,4,111,12,0
1027,4,112,11,0
1028,4,70,9,1
1029,14,68,31,3
1030,22,69,29,1
1031,12,47,34,1
1032,15,44,34,0
1033,15,72,26,0
1034,9,98,16,4
1035,18,50,24,0
1036,17,62,17,0
1037,17,68,20,0
1038,9,55,27,1
1039,15,78,23,0
1040,15,59,30,0
1041,11,63,29,0
1042,12,55,25,0
1043,15,50,27,0
1044,19,69,31,0
1045,17,94,19,0
1046,12,132,11,0
1047,3,58,7,1
1048,8,73,5,0
1049,16,51,33,1
1050,24,43,26,1
1051,12,46,38,1
1052,16,51,36,1
1053,18,64,33,0
1054,20,56,22,2
1055,13,49,33,0
1056,15,69,27,0
1057,11,84,20,0
1058,16,48,18,0
1059,12,82,20,0
1060,18,62,21,0
1061,14,70,33,0
1062,16,58,37,2
1063,21,53,34,0
1064,19,66,29,1
1065,20,61,23,0
1066,18,67,30,--
1067,15,55,23,0
1068,15,67,27,3
1069,23,59,23,0
1070,19,60,28,0
1071,14,71,22,2
1072,9,99,24,1
1073,13,135,13,0
1074,8,133,15,166
1075,9,64,25,0
1076,5,53,6,0
1077,3,57,2,2
1078,8,30,15,0
1079,5,38,19,1
1080,11,28,23,0
1081,5,29,23,3
1082,12,38,17,0
1083,7,43,26,0
1084,6,53,9,--
1085,8,50,14,--
1138,6,47,12,0
1139,5,31,15,0
1140,9,47,19,--
1141,8,46,19,0
1142,6,45,18,0
1143,5,39,18,0
1144,5,38,7,0
1145,5,50,10,0
1146,4,53,8,1
1147,6,90,6,--
1148,6,95,10,1
1149,2,47,0,0
1150,2,21,4,0
1151,10,62,13,--
1152,6,59,18,0
1153,7,57,17,1
1154,6,88,12,0
1155,6,74,24,0
1156,1,61,21,0
1157,6,63,16,0
1158,7,58,19,0
1159,5,78,12,0
1160,7,86,17,0
1161,4,84,5,0
1162,2,70,8,0
1163,8,61,27,--
1164,12,67,14,0
1165,10,54,21,3
1166,10,63,23,0
1167,16,65,20,1
1168,9,79,24,0
1169,10,63,23,1
1170,8,64,30,1
1171,18,58,33,0
1172,5,65,19,1
1173,7,84,28,0
1174,4,64,29,1
1175,5,68,20,0
1176,13,77,13,0
1177,6,70,19,0
1178,8,88,18,0
1179,10,81,25,0
1180,7,73,17,2
1181,7,79,24,0
1182,14,69,22,0
1183,5,70,18,0
1184,8,72,16,1
1185,9,77,14,0
1186,10,62,22,0
1187,11,67,17,0
1188,8,66,12,0
1189,8,67,21,0
1190,5,62,19,1
1191,3,106,13,1
1192,10,97,17,0
1193,3,127,6,0
1194,2,124,12,0
1195,4,153,11,0
1196,3,130,12,0
1197,7,141,6,1
1198,9,93,14,0
1199,3,129,4,1
1200,6,86,3,0
1201,2,73,4,0
1202,10,57,30,2
1203,14,48,22,1
1204,10,53,33,0
1205,8,49,25,0
1206,12,55,43,1
1207,7,59,31,2
1208,13,39,38,1
1209,9,57,17,0
1210,17,47,29,0
1211,11,80,19,0
1212,10,75,33,1
1213,15,64,23,2
1214,13,67,22,1
1215,8,60,19,0
1216,14,55,26,1
1217,8,52,16,0
1218,12,51,33,0
1219,12,50,29,--
1220,14,58,22,0
1221,16,49,18,0
1222,8,44,18,1
1223,9,55,22,1
1224,7,51,11,1
1225,13,63,18,0
1226,20,61,20,1
1227,4,65,20,0
1228,12,68,30,0
1229,6,90,13,0
1230,4,140,11,1
1231,5,143,10,1
1232,3,93,11,0
1233,8,106,11,0
1234,4,61,9,0
1235,5,46,7,0
1236,10,75,28,0
1237,15,69,14,0
1238,12,78,32,1
1239,13,74,22,0
1240,15,73,30,2
1241,16,74,30,1
1242,13,68,23,0
1243,9,83,18,0
1244,13,100,20,0
1245,6,73,32,3
1246,6,85,26,0
1247,7,83,30,1
1248,11,79,26,0
1249,9,85,32,0
1250,10,75,24,0
1251,18,33,41,4
1252,16,70,31,0
1253,15,72,27,0
1254,7,79,26,1
1255,10,77,24,0
1256,9,65,24,0
1257,9,75,36,0
1258,6,123,13,0
1259,10,153,6,0
1260,5,145,17,0
1261,11,102,18,0
1262,10,122,7,0
1263,9,85,8,1
1264,14,39,28,1
1265,25,56,37,0
1266,22,52,26,1
1267,20,53,28,0
1268,20,43,31,1
1269,11,44,36,0
1270,15,61,19,0
1271,21,45,28,2
1272,18,48,20,0
1273,13,56,27,1
1274,23,56,26,2
1275,17,45,24,2
1276,21,47,24,1
1277,26,42,27,0
1278,25,59,31,--
1279,25,41,23,0
1280,19,69,25,0
1281,14,88,19,0
1282,8,103,14,0
1283,9,89,24,1
1284,6,56,15,1
1285,7,33,8,0
1286,6,32,5,0
1287,14,56,34,2
1288,16,47,44,3
1289,17,53,23,3
1290,12,68,36,0
1291,17,50,17,2
1292,17,66,32,0
1293,8,64,32,0
1294,11,69,32,--
1295,8,64,29,1
1296,7,56,26,0
1297,13,58,39,2
1298,19,65,32,0
1299,18,52,30,1
1300,13,55,39,2
1301,13,50,34,1
1302,10,72,29,1
1303,9,74,12,1
1304,--,--,--,--
1305,9,89,13,0
1306,3,65,15,1
1307,3,43,7,0
1308,5,37,7,0
1309,28,50,38,2
1310,32,41,36,2
1311,26,40,42,0
1312,28,44,45,1
1313,23,51,43,0
1314,22,34,44,1
1315,21,66,38,0
1316,16,70,25,2
1317,24,52,35,0
1318,29,44,44,2
1319,25,64,42,1
1320,32,52,32,0
1321,26,51,17,2
1322,30,44,36,0
1323,20,52,34,2
1324,19,35,38,1
1325,30,38,34,1
1326,27,58,22,0
1327,16,85,21,1
1328,13,102,16,0
1329,9,97,14,0
1330,9,76,10,0
1331,14,54,19,1
1332,6,60,13,1
1333,14,78,36,2
1334,15,56,38,0
1335,10,79,29,0
1336,21,59,31,0
1416,8,46,32,3
1417,17,69,35,0
1418,16,58,36,1
1419,19,69,35,0
1420,14,80,19,0
1421,19,75,19,1
1422,20,54,31,0
1423,19,53,36,0
1424,20,76,32,3
1425,15,51,28,1
1426,17,65,27,0
1427,25,70,35,4
1428,21,66,18,2
1429,18,77,0,1
1430,11,73,34,2
1431,18,68,35,1
1432,25,69,26,0
1433,22,57,41,0
1434,19,70,41,2
1435,13,72,30,2
1436,19,59,30,0
1437,22,58,48,153
1438,29,57,25,0
1439,21,50,28,0
1440,20,66,21,1
1441,23,69,19,0
1442,16,83,20,0
1443,7,112,19,0
1444,8,125,24,0
1445,9,97,15,0
1446,11,132,17,0
1447,5,136,18,183
1448,5,63,18,1
1449,17,78,18,0
1450,12,71,13,0
1451,12,55,14,0
1452,17,45,24,0
1453,19,46,41,0
1454,19,55,21,1
1455,17,50,27,1
1456,16,52,36,2
1457,7,59,30,0
1458,13,50,26,1
1459,20,63,29,1
1460,9,69,32,1
1461,17,48,33,1
1462,17,51,30,1
1463,22,56,29,0
1464,17,55,18,0
1465,12,45,25,2
1466,10,48,18,2
1467,7,68,20,0
1468,8,96,15,1
1469,5,106,11,0
1470,6,82,10,1
1471,6,51,6,0
1472,6,46,6,0
1473,10,57,31,2
1474,11,47,39,1
1475,21,61,26,4
1476,15,55,27,1
1477,11,69,23,2
1478,11,71,31,3
1479,5,80,29,0
1480,11,64,29,0
1481,10,65,28,1
1482,9,69,31,0
1483,9,70,34,2
1484,18,80,30,0
1485,13,64,20,0
1486,11,71,32,2
1487,15,67,28,0
1488,14,56,30,0
1489,9,64,27,3
1490,11,84,25,0
1491,7,94,20,0
1492,4,105,20,0
1493,3,121,19,0
1494,4,79,18,0
1495,10,74,16,1
1496,5,77,17,1
1497,17,48,40,3
1498,18,62,31,0
1499,14,50,26,0
1500,17,57,29,1
1501,14,71,25,1
1502,12,65,32,1
1561,17,68,37,1
1562,23,53,38,0
1563,23,63,40,0
1564,22,4,31,1
1565,18,75,36,1
1566,23,68,33,1
1567,16,74,28,3
1568,17,68,34,0
1569,21,65,30,2
1570,15,79,29,7
1571,21,53,20,3
1572,16,68,36,0
